ID,REF1,OFF1,ERR_OFF1,REF2,OFF2,ERR_OFF2,CAL_SET_N
48178.0,48176.0,-0.0036325000000000003,0.0003518788854137173,48177.0,-0.0125625,0.0002458022579229084,1
48179.0,48176.0,-0.01235,0.0008108329051043744,48177.0,-0.021277499999999998,0.0007946815399894481,1
48180.0,48176.0,-0.0214975,0.0006629243923706535,48177.0,-0.030430000000000002,0.0007089428749906428,1
48181.0,48176.0,0.012275,0.0003214420632089085,48177.0,0.0033499999999999997,9.027735042633896e-05,1
48182.0,48176.0,0.052610000000000004,0.00034329287787543747,48177.0,0.043684999999999995,7.889866919029813e-05,1
48183.0,48176.0,-0.0386975,0.0002650825343171442,48177.0,-0.0476225,0.0002775225216086067,1
48184.0,48176.0,0.012,0.0003294692701907113,48177.0,0.0030724999999999997,0.00019929563467371787,1
48185.0,48176.0,0.04494,0.00039287402561126347,48177.0,0.03601,0.0002336664289109574,1
48186.0,48176.0,-0.044802499999999995,0.0005695338005772781,48177.0,-0.05373,0.0003178836265050486,1
48187.0,48176.0,-0.0482725,0.00045173969274350844,48177.0,-0.0572,0.0002989147035527039,1
48188.0,48176.0,0.0157425,0.0002880429655450731,48177.0,0.006815,0.00022907422377910604,1
48189.0,48176.0,0.023017500000000003,0.0006011811291116853,48177.0,0.0140925,0.0006831681710969857,1
48190.0,48176.0,-0.029800000000000004,0.0008594378007356513,48177.0,-0.03883166666666666,0.0009001373352007023,2
48192.0,48176.0,0.06089166666666667,0.0007983194153275307,48177.0,0.05185666666666666,0.000808056653679404,2
48193.0,48176.0,-0.03171333333333333,0.000784892066182067,48177.0,-0.04074833333333334,0.0007538659621503593,2
48194.0,48176.0,0.023688333333333336,0.0008194798485760476,48177.0,0.014653333333333336,0.0007456466246747779,2
48195.0,48176.0,-0.0193,0.0011499565209172034,48177.0,-0.028331666666666668,0.0008658024537323101,2
48196.0,48176.0,0.022855,0.0006802144269762787,48177.0,0.013821666666666668,0.0005250846492603731,2
48198.0,48176.0,0.076435,0.0004595559450890241,48177.0,0.06739666666666667,0.00032678569260126476,2
48199.0,48176.0,0.089655,0.0005664730061235639,48177.0,0.08062166666666666,0.0004643783179932316,2
48200.0,48176.0,0.058005,0.0005967620966515877,48177.0,0.04897166666666667,0.0006847241942725705,2
48201.0,48176.0,0.0011333333333333334,0.0007849769989553126,48177.0,-0.007903333333333333,0.0007866737287818604,2
