Fibra,FBG,lambda_mean_nm,birefringence_pm,Amp_P,Amp_S,PDL_dB
DW-3,1,1544.952,0.0,1030.0,1095.0,0.27
DW-3,2,1550.787,2.0,1030.0,1212.0,0.71
DW-3,3,1556.598,1.0,887.0,1029.0,0.64
DW-3,4,1562.367,0.0,962.0,994.0,0.14
PEEK-6,1,1541.47,1.0,533.0,530.0,0.02
PEEK-6,2,1544.581,2.0,542.0,550.0,0.06
PEEK-6,3,1547.494,1.0,562.0,546.0,0.13
POLY-1,1,1545.108,11.0,561.0,646.0,0.61
POLY-1,2,1550.945,4.0,510.0,538.0,0.23
POLY-1,3,1556.729,5.0,463.0,480.0,0.16
POLY-1,4,1562.436,13.0,440.0,486.0,0.43
